Date, Open, High, Low, Close
7/2/2021,1758.47,1775.1,1750.91,1771.06
7/1/2021,1766.28,1785.9,1751.25,1758.47
6/30/2021,1762.01,1766.56,1747.38,1766.28
6/29/2021,1750.09,1776.17,1750.09,1762.01
6/28/2021,1770.74,1780.12,1740.3,1750.09
6/25/2021,1780.84,1803.14,1770.68,1770.74
6/24/2021,1743.59,1791.32,1743.59,1780.84
6/23/2021,1730.56,1771.31,1730.56,1743.59
6/22/2021,1722.57,1736.76,1710.47,1730.56
6/21/2021,1678.96,1726.69,1678.96,1722.57
6/18/2021,1699.31,1707.23,1674.67,1678.96
6/17/2021,1766.04,1766.04,1681.85,1699.31
6/16/2021,1812.56,1812.56,1756.16,1766.03
6/15/2021,1827.9,1827.9,1777.97,1812.56
6/14/2021,1866.4,1866.4,1820.91,1827.9
6/11/2021,1839.43,1876.11,1839.43,1866.4
6/10/2021,1840.53,1864.82,1830.53,1839.43
6/9/2021,1838.4,1857.88,1819.08,1840.53
6/8/2021,1825.76,1845.98,1806.77,1838.4
6/7/2021,1855.1,1855.1,1814.76,1825.75
6/4/2021,1840.22,1865.3,1838.63,1855.1
6/3/2021,1859.37,1859.37,1810.22,1840.22
6/2/2021,1874.75,1874.75,1845.92,1859.37
6/1/2021,1809.11,1874.91,1809.11,1874.75
5/28/2021,1808.26,1816.71,1782.02,1809.11
5/27/2021,1759.48,1818.17,1759.48,1808.26
5/26/2021,1735.37,1764.01,1730.75,1759.48
5/25/2021,1777.4,1783.77,1733.31,1735.37
5/24/2021,1765.29,1782.09,1749.43,1777.4
5/21/2021,1785.83,1802.76,1755.42,1765.29
5/20/2021,1792.67,1792.67,1764.8,1785.83
5/19/2021,1853.25,1853.25,1764.07,1792.67
5/18/2021,1862.96,1882.96,1850.57,1853.25
5/17/2021,1825.25,1865.34,1818.4,1862.97
5/14/2021,1833.25,1835.13,1804.26,1825.25
5/13/2021,1835.93,1868.27,1806.95,1833.25
5/12/2021,1927.01,1927.01,1830.68,1835.93
5/11/2021,1895.48,1931.49,1856.87,1927.01
5/10/2021,1893.74,1955.92,1893.09,1895.48
5/7/2021,1854.66,1894.73,1845.48,1893.74
5/6/2021,1803.53,1855.12,1803.53,1854.66
5/5/2021,1772.92,1822.79,1772.92,1803.53
5/4/2021,1737.32,1776.74,1730.97,1772.92
5/3/2021,1701.78,1747.46,1701.78,1737.32
4/30/2021,1744.86,1744.86,1700.23,1701.78
4/29/2021,1753.49,1762.68,1721.15,1744.86
4/28/2021,1734.21,1761.59,1731.59,1753.49
4/27/2021,1738.36,1744.84,1724.06,1734.21
4/26/2021,1687.6,1739.44,1687.6,1738.36
4/23/2021,1647.17,1691.27,1647.17,1687.6
4/22/2021,1658.98,1666.05,1630.28,1647.17
4/21/2021,1628.09,1660.07,1604.31,1658.98
4/20/2021,1665.74,1665.74,1617.24,1628.09
4/19/2021,1667.62,1684.35,1656.12,1665.74
4/16/2021,1648.48,1669.22,1641.55,1667.62
4/15/2021,1639.6,1664.03,1639.6,1648.48
4/14/2021,1590.48,1655.29,1590.48,1639.6
4/13/2021,1591.39,1599.81,1572.7,1590.48
4/12/2021,1603.14,1607.28,1583.84,1591.39
4/9/2021,1619.6,1619.6,1596.35,1603.14
4/8/2021,1621.07,1626.83,1596.71,1619.6
4/7/2021,1615.61,1635.07,1613.32,1621.07
4/6/2021,1630.82,1639.15,1610.77,1615.61
4/5/2021,1593.3,1640.99,1593.3,1630.82
4/1/2021,1600.46,1600.46,1568.4,1593.3
3/31/2021,1575.72,1610.39,1575.72,1600.47
3/30/2021,1547.83,1577.36,1538.42,1575.72
3/29/2021,1561.96,1585.4,1544.14,1547.83
3/26/2021,1478.03,1561.96,1478.03,1561.96
3/25/2021,1461.36,1482.43,1426.58,1478.03
3/24/2021,1447.26,1500.33,1447.26,1461.35
3/23/2021,1503.92,1503.92,1441.59,1447.26
3/22/2021,1521.6,1521.6,1491.46,1503.92
3/19/2021,1521.86,1534.05,1488.49,1521.6
3/18/2021,1547.04,1567.02,1518.23,1521.86
3/17/2021,1531.16,1549.46,1513.27,1547.04
3/16/2021,1546.57,1554.01,1528.89,1531.16
3/12/2021,1566.9,1566.9,1542.37,1565.23
3/11/2021,1511.41,1567.12,1511.41,1566.9
3/10/2021,1505.24,1513.83,1486.16,1511.41
3/9/2021,1508.62,1514.41,1467.61,1505.24
3/8/2021,1490.19,1522.53,1485.47,1508.62
3/5/2021,1438.25,1492.1,1433.98,1490.19
3/4/2021,1503.14,1503.14,1417.28,1438.25
3/3/2021,1486.47,1514.21,1476.45,1503.14
3/2/2021,1469.01,1495.08,1463.85,1486.47
3/1/2021,1406.99,1477.67,1406.99,1469.01
2/26/2021,1451.37,1451.37,1404.54,1406.99
2/25/2021,1501.76,1519.8,1445.47,1451.37
2/24/2021,1467.19,1505.87,1465.41,1501.76
2/23/2021,1458.02,1469.74,1416.73,1467.19
2/22/2021,1436.92,1477.8,1419.04,1458.02
2/19/2021,1399.09,1440,1399.09,1436.92
2/18/2021,1414.13,1422.15,1387.15,1399.09
2/17/2021,1421.23,1429.81,1401.97,1414.13
